,6615,6703,6688,6613
6931,117.993232,232.974505,262.552633,142.851488
6464,78.71112,219.335972,266.592981,99.188906
6990,23.147733,153.549447,198.199139,34.27293
6525,68.829456,107.388722,146.211215,48.078252
6950,61.543389,107.259796,151.609922,50.051293
6904,214.366962,144.475566,24.563267,196.987857
6482,61.768045,107.791983,151.372645,50.075786
6969,80.857432,221.170093,267.476542,98.320852
6128,213.797126,172.502673,195.367509,233.022428
6666,81.304206,226.151202,272.039024,100.597082
6269,101.9858,248.095427,296.064615,124.437224
6810,91.908045,231.57104,279.852228,111.593465
6410,114.820292,252.615957,291.128361,137.077764
6924,20.915081,142.719921,190.14672,22.724616
6932,87.027025,235.459461,282.831213,115.456212
6910,213.146668,76.498672,100.029472,201.165102
6577,92.453232,232.300549,279.399299,111.586645
6773,202.538701,50.165175,119.966853,186.753506
6149,216.487337,75.164188,93.109214,199.103025
7026,92.75466,231.744432,278.936394,111.585475
6192,102.959975,244.479197,291.252099,123.945269
6913,209.849074,145.391901,20.367005,192.312941
6832,61.811718,107.266167,151.717086,50.089326
6456,18.227282,144.530316,195.048591,20.809378
6088,81.980673,219.411218,268.14741,99.399438
6687,104.228893,244.347186,292.099463,123.351217
6834,92.834793,232.711238,279.695299,112.340051
6250,88.422301,227.04481,274.326427,106.767042
6846,80.145242,219.731949,268.006587,100.097655
6521,222.152251,83.069583,106.623222,203.709206
6573,76.671895,219.941844,267.521957,98.940351
6407,62.650633,93.684215,142.33426,58.722597
6548,87.979932,227.897977,275.995951,108.06228
6655,86.226218,226.903953,266.66234,111.314337
6328,98.161832,244.465256,289.725767,120.795963
6860,22.2073,143.197061,190.947886,23.382061
6593,76.367798,220.47783,268.046362,98.667629
6490,93.654274,233.155066,281.218544,112.937105
6823,79.789699,233.007231,279.223302,103.243056
6408,60.084775,118.37162,144.918211,51.398852
6829,121.611498,261.838743,310.354956,139.67153
6252,80.135799,219.489471,269.503993,99.679979
6968,228.58716,107.032546,130.271554,227.829069
6723,232.202604,100.237683,181.019941,224.423326
6264,59.68096,93.505826,142.08919,43.200968
6532,83.32272,220.616601,268.583949,100.768908
6759,162.311383,245.866408,327.251372,180.445207
6813,91.204625,231.834096,280.713238,110.987524
6606,216.158793,191.694873,403.805629,230.456548
6214,76.031209,225.932495,264.98757,108.760677
6446,133.258687,218.46884,261.703887,132.444186
7012,85.928313,227.764559,275.438218,108.308741
7045,62.083523,107.681118,151.026324,50.574297
6959,98.829748,238.789172,287.25748,119.180839
6803,234.997152,166.271656,26.53956,198.418216
7001,20.842978,142.325062,189.641227,21.973111
6854,96.943798,245.609768,259.24586,117.575216
6267,84.582467,222.545007,269.427756,101.472674
6790,113.041606,250.284411,288.074317,138.063022
7048,80.675203,225.373615,271.338827,103.485005
7056,100.916461,242.55508,289.867599,122.02094
6615,0.340073,143.29304,191.389254,23.251122
6918,207.069434,69.146428,93.635405,189.965396
6342,83.394589,220.473492,268.217152,100.457674
6868,101.519334,243.94093,291.927824,123.985121
6902,112.661701,251.219918,295.534138,120.644269
6995,174.846113,36.013,135.517765,157.028293
6938,32.301184,126.714546,172.187837,16.488648
6664,124.687608,267.743673,314.448698,148.235217
6531,85.993235,226.969034,274.686704,106.964299
6439,84.956482,224.219949,272.636832,104.47049
6479,1.277528,152.931824,194.737949,31.08131
6811,66.676776,104.418272,151.971438,48.821724
6709,90.948817,230.115172,278.25016,110.281863
7038,35.363502,126.492753,172.65087,24.640782
6679,93.934075,233.938313,281.521669,113.148473
6460,199.597898,110.690223,1.701182,181.616672
6797,2.21685,154.732126,201.137739,25.916758
6326,112.033417,252.175254,299.754894,132.159011
6538,159.338128,302.259426,349.538666,181.755529
6324,110.325407,249.030459,296.143941,130.207375
7036,84.902921,224.953245,272.034146,104.826665
6717,82.375228,224.267687,273.79272,104.621431
6875,14.938405,162.437071,218.080683,34.786614
6779,231.136175,274.751109,310.463257,249.53875
6394,77.597585,99.370127,153.332297,59.196445
6885,91.158402,234.591284,278.863773,111.475584
6182,81.96202,219.442421,268.302227,99.584272
6917,206.75462,68.799889,92.816748,189.523838
6883,104.774025,247.405835,294.633565,126.733986
6468,173.426342,31.361065,153.090289,155.292107
